latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.72527,95.58761,331.64,0.39,0.36,2026-06-01,0652,N20,VIIRS,n,2.0NRT,296.67,4.11,D
20.96249,85.16469,332.69,0.4,0.6,2026-06-01,0654,N20,VIIRS,n,2.0NRT,298.35,6.14,D
20.80145,84.1563,336.32,0.47,0.64,2026-06-01,0654,N20,VIIRS,n,2.0NRT,294.97,2.97,D
20.83977,84.16496,338.49,0.47,0.64,2026-06-01,0654,N20,VIIRS,n,2.0NRT,295.49,3.39,D
20.4988,81.36655,337.26,0.71,0.75,2026-06-01,0654,N20,VIIRS,n,2.0NRT,288.89,13.22,D
25.58139,92.12543,330.93,0.41,0.37,2026-06-01,0654,N20,VIIRS,l,2.0NRT,293.67,3.13,D
25.58479,92.12473,356.39,0.41,0.37,2026-06-01,0654,N20,VIIRS,l,2.0NRT,292.9,16.2,D
23.32756,80.23992,330.95,0.72,0.76,2026-06-01,0654,N20,VIIRS,n,2.0NRT,289.95,6.79,D
21.34572,83.20099,334.28,0.52,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,290.31,8.08,D
23.82235,84.57475,336.34,0.38,0.59,2026-06-01,0654,N20,VIIRS,n,2.0NRT,300.59,6.29,D
23.82429,84.57457,337.74,0.38,0.59,2026-06-01,0654,N20,VIIRS,n,2.0NRT,300.7,5.79,D
22.4853,79.92787,331.52,0.79,0.78,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.83,6.9,D
23.76712,86.40498,334.69,0.58,0.52,2026-06-01,0654,N20,VIIRS,n,2.0NRT,295.78,5.3,D
23.76734,86.40703,331.19,0.58,0.52,2026-06-01,0654,N20,VIIRS,n,2.0NRT,295.64,5.08,D
23.67628,86.39945,330.23,0.59,0.53,2026-06-01,0654,N20,VIIRS,n,2.0NRT,300.09,8.39,D
23.67637,86.40084,330.92,0.59,0.53,2026-06-01,0654,N20,VIIRS,n,2.0NRT,300.39,8.17,D
21.97414,82.92304,330.04,0.53,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.73,2.69,D
21.85145,82.67696,336.06,0.55,0.68,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.44,6.11,D
24.98206,82.05885,330.92,0.51,0.66,2026-06-01,0654,N20,VIIRS,n,2.0NRT,297.52,1.91,D
24.86448,82.21765,336.62,0.5,0.66,2026-06-01,0654,N20,VIIRS,n,2.0NRT,299.54,3.08,D
26.90513,96.21555,332.51,0.42,0.37,2026-06-01,0654,N20,VIIRS,n,2.0NRT,296.67,4.04,D
26.90573,96.21999,331.42,0.42,0.38,2026-06-01,0654,N20,VIIRS,n,2.0NRT,296.41,4.1,D
25.81858,91.46548,330.18,0.43,0.38,2026-06-01,0654,N20,VIIRS,n,2.0NRT,295.92,1.63,D
25.80008,91.56648,352.3,0.43,0.38,2026-06-01,0654,N20,VIIRS,l,2.0NRT,304.4,42.3,D
21.85267,82.68205,342.8,0.55,0.68,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.27,6.11,D
21.93859,83.04243,344.08,0.52,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.61,7.42,D
21.93974,83.04731,333.24,0.52,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.44,5.49,D
21.87931,82.90089,333.16,0.53,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.3,2.02,D
21.91713,82.89899,331.78,0.53,0.67,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.96,1.54,D
21.85216,82.67402,332.09,0.55,0.68,2026-06-01,0654,N20,VIIRS,n,2.0NRT,292.6,5.44,D
