latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.42409,96.67627,332.12,0.42,0.61,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,295.67,4.43,D
17.20225,95.79424,347.57,0.49,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.68,6.2,D
17.1362,95.43928,349.82,0.52,0.66,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,289.14,10.13,D
17.20011,95.79658,341.39,0.49,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,292.34,5.57,D
17.05974,95.41094,331.64,0.52,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,287.49,6.68,D
17.06081,95.41582,331.6,0.52,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,286.82,6.38,D
16.91799,95.01763,332.25,0.55,0.68,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,288.43,4.94,D
17.07848,95.78985,337.74,0.49,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,292.34,4.68,D
17.09998,95.91938,334.78,0.48,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,289.66,4.09,D
17.26649,96.78954,336.49,0.42,0.61,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,296.36,4.58,D
16.90303,95.30549,332.78,0.53,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.13,4.08,D
16.90415,95.31051,332.44,0.53,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,290.37,4.08,D
16.90515,95.30864,342.31,0.53,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.26,4.29,D
16.86803,95.49355,347.26,0.52,0.67,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,290.11,8.1,D
16.80527,95.2365,331.2,0.54,0.68,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,289.67,3.32,D
15.86255,95.15062,335.46,0.57,0.69,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.56,6.78,D
16.54565,95.18771,332.5,0.55,0.68,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,288.31,6.41,D
16.54261,95.18682,337.03,0.55,0.68,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,288.65,8.9,D
16.61026,96.67305,330.73,0.44,0.62,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,293.85,4.54,D
16.52989,96.3768,354.09,0.46,0.64,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,292.74,9.56,D
16.00881,94.67972,330.97,0.61,0.71,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,282.06,3.89,D
16.88193,95.88132,367,0.49,0.65,2026-05-01,0614,SNPP,SNPP,h,2.0NRT,292.49,12.65,D
15.86101,95.14862,341.01,0.57,0.69,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.68,7.21,D
16.74192,95.99616,330.81,0.48,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,295.05,3.41,D
17.19231,95.49086,346.62,0.51,0.66,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.72,7.8,D
17.50657,94.59633,336.16,0.57,0.69,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,283.8,4.96,D
17.50682,94.5933,331.65,0.57,0.69,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,283.39,4.6,D
17.23391,95.76774,343.86,0.49,0.65,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,291.88,6.37,D
17.13603,95.43788,355.95,0.51,0.66,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,290.18,5.2,D
11.91189,78.68147,337.7,0.54,0.42,2026-05-01,0752,SNPP,SNPP,n,2.0NRT,300.13,4.5,D
11.83861,77.89574,333.71,0.4,0.44,2026-05-01,0752,SNPP,SNPP,l,2.0NRT,306.79,1.77,D
8.22523,93.14094,356.45,0.37,0.58,2026-05-01,0752,SNPP,SNPP,l,2.0NRT,286.34,15.53,D
9.01382,80.08339,331.36,0.49,0.4,2026-05-01,0752,SNPP,SNPP,n,2.0NRT,298.21,2.6,D
10.19382,77.76546,333.37,0.43,0.46,2026-05-01,0752,SNPP,SNPP,n,2.0NRT,300.32,4.67,D
9.97382,76.37482,341.87,0.54,0.51,2026-05-01,0752,SNPP,SNPP,n,2.0NRT,291.29,4.58,D
9.97847,76.37399,332.95,0.54,0.51,2026-05-01,0752,SNPP,SNPP,n,2.0NRT,289.58,4.58,D
