latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
11.94872,79.45615,367,0.44,0.62,2026-05-01,0720,N21,VIIRS,h,2.0NRT,295.32,33.33,D
11.94796,79.45224,349.49,0.44,0.62,2026-05-01,0720,N21,VIIRS,n,2.0NRT,291.64,22.01,D
12.43039,77.89658,330.39,0.55,0.68,2026-05-01,0720,N21,VIIRS,n,2.0NRT,296.37,6.31,D
12.90439,79.75715,330.47,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,296.77,2.82,D
12.93435,79.76636,335.19,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,298.19,1.84,D
12.92771,79.70415,334.8,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,296.97,4.22,D
13.10133,79.83504,344.24,0.39,0.59,2026-05-01,0720,N21,VIIRS,n,2.0NRT,295.3,5.23,D
13.16108,77.39159,332.59,0.57,0.69,2026-05-01,0720,N21,VIIRS,n,2.0NRT,295.33,4.45,D
12.96422,79.77538,349.52,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,298.45,5.15,D
12.97157,79.75544,344.39,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,299.04,7.31,D
13.00903,79.83309,334.07,0.39,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,298.27,3.32,D
10.21506,77.73511,335.7,0.62,0.71,2026-05-01,0720,N21,VIIRS,n,2.0NRT,290.05,6.91,D
6.68751,81.24001,367,0.41,0.61,2026-05-01,0720,N21,VIIRS,h,2.0NRT,290.7,16.23,D
6.68813,81.24358,338.4,0.41,0.61,2026-05-01,0720,N21,VIIRS,n,2.0NRT,289.91,16.23,D
6.68689,81.2364,352.36,0.41,0.61,2026-05-01,0720,N21,VIIRS,n,2.0NRT,289.74,34.76,D
6.68819,81.242,331.02,0.41,0.61,2026-05-01,0720,N21,VIIRS,n,2.0NRT,287.56,21.22,D
6.68689,81.23482,353.84,0.41,0.61,2026-05-01,0720,N21,VIIRS,n,2.0NRT,286.02,25.74,D
6.68754,81.2384,355.61,0.41,0.61,2026-05-01,0720,N21,VIIRS,l,2.0NRT,289.66,21.22,D
7.70286,81.64455,336.19,0.37,0.58,2026-05-01,0720,N21,VIIRS,n,2.0NRT,294.08,5.17,D
9.33577,77.49767,342.67,0.66,0.73,2026-05-01,0720,N21,VIIRS,n,2.0NRT,291.36,9.63,D
9.33337,77.49684,341.86,0.66,0.73,2026-05-01,0720,N21,VIIRS,n,2.0NRT,290.85,7.73,D
9.77631,78.51402,334.81,0.56,0.68,2026-05-01,0720,N21,VIIRS,n,2.0NRT,290.8,6.39,D
9.91673,78.32804,345.12,0.57,0.69,2026-05-01,0720,N21,VIIRS,n,2.0NRT,271.51,9.36,D
10.46936,79.48889,367,0.46,0.64,2026-05-01,0720,N21,VIIRS,h,2.0NRT,296.64,14.16,D
15.94766,94.77556,330.95,0.44,0.46,2026-05-01,0720,N21,VIIRS,n,2.0NRT,299.78,2.39,D
15.83043,94.76931,341.28,0.44,0.46,2026-05-01,0720,N21,VIIRS,n,2.0NRT,301.74,5.88,D
15.82518,94.76177,353.21,0.44,0.46,2026-05-01,0720,N21,VIIRS,n,2.0NRT,301.98,15.08,D
16.23715,94.64394,346.39,0.43,0.46,2026-05-01,0720,N21,VIIRS,n,2.0NRT,297.16,25.64,D
16.26522,94.93816,342.24,0.45,0.47,2026-05-01,0720,N21,VIIRS,n,2.0NRT,288.56,5.21,D
16.42769,96.28513,339.97,0.56,0.51,2026-05-01,0720,N21,VIIRS,n,2.0NRT,296.82,5.36,D
13.85086,80.19946,334.02,0.36,0.57,2026-05-01,0720,N21,VIIRS,n,2.0NRT,292.74,2.9,D
13.33605,79.62809,346.01,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,298.79,7.94,D
13.33677,79.63169,345.86,0.4,0.6,2026-05-01,0720,N21,VIIRS,n,2.0NRT,297.26,8.17,D
15.83599,95.30918,342.61,0.47,0.48,2026-05-01,0720,N21,VIIRS,n,2.0NRT,300.73,11.06,D
15.83504,95.30813,353.81,0.47,0.48,2026-05-01,0720,N21,VIIRS,n,2.0NRT,301.24,16.73,D
13.33489,79.62976,367,0.4,0.6,2026-05-01,0720,N21,VIIRS,h,2.0NRT,300.11,9.12,D
